,Unnamed: 0,name,cost,competitive rate,code,date
378,378,세종메디칼,"15,000",922.71:1,258830,  2018.05.29
379,379,제노레이,"23,000",1028.72:1,122310,  2018.05.28
380,380,한국스팩7호,"2,000",0.16:1,291210,  2018.05.11
381,381,유안타스팩3호,"2,000",0.13:1,287410,  2018.05.08
382,382,제이티씨(JTC),"8,500",465.63:1,950170,  2018.04.06
383,383,대신밸런스스팩3호,"2,000",0.15:1,253590,  2018.04.04
384,384,케어랩스,"20,000",886.14:1,263700,  2018.03.28
385,385,애경산업,"29,100",6.73:1,18250,  2018.03.22
386,386,린드먼아시아인베스트먼트,"6,500",1039.51:1,277070,  2018.03.14
387,387,에코마이스터,"5,200",213.78:1,64510,  2018.03.15
388,388,엔지켐생명과학,"56,000",342.31:1,183490,  2018.02.21
389,389,오스테오닉,"7,700",998.83:1,226400,  2018.02.22
390,390,동구바이오제약,"16,000",836.67:1,6620,  2018.02.13
391,391,알리코제약,"12,000",697.30:1,260660,  2018.02.12
392,392,아시아종묘,"4,500",243.2:1,154030,  2018.02.12
393,393,카페24,"57,000",731.58:1,42000,  2018.02.08
394,394,링크제니시스,"30,000",1184.36:1,219420,  2018.02.05
395,395,배럴,"9,500",369.78:1,267790,  2018.02.01
396,396,에스지이,"6,000",0.44:1,255220,  2018.01.26
397,397,씨앤지하이테크,"16,000",625.64:1,264660,  2018.01.25
398,398,시스웍,"2,800",830.31:1,269620,  2017.12.26
399,399,한국스팩6호,"2,000",0.05:1,281410,  2017.12.21
400,400,디바이스이엔지,"12,000",2.38:1,187870,  2017.12.20
401,401,동부스팩5호,"2,000",0.12:1,281740,  2017.12.12
402,402,진에어,"31,800",134.05:1,272450,  2017.12.08
403,403,동양피스톤,"5,700",20.36:1,92780,  2017.12.08
404,404,메카로,"33,000",664.69:1,241770,  2017.12.06
405,405,씨티케이코스메틱스,"55,000",145.75:1,260930,  2017.12.07
406,406,대원,"15,000",460.24:1,7680,  2017.12.01
407,407,에스트래픽,"10,000",1128.18:1,234300,  2017.12.05
408,408,체리부로,"4,700",616.60:1,66360,  2017.12.04
409,409,비즈니스온커뮤니케이션,"9,000",1075.91:1,138580,  2017.11.30
410,410,삼양패키징,"26,000",2.74:1,272550,  2017.11.29
